266 0.2208
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.26 -0.3067 0.0552
4.27 0.3067 -0.0552
4.26 -0.3067 0.0552
4.27 0.3067 -0.0552
4.26 -0.3067 0.0552
4.26 0.0000 0.0000
4.24 -0.3067 0.0552
4.23 -0.3067 0.0552
4.23 0.0000 0.0000
4.23 0.0000 0.0000
4.23 0.0000 0.0000
4.23 0.0000 0.0000
4.23 0.0000 0.0000
4.23 0.0000 0.0000
4.21 -0.3067 0.0552
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.21 0.0000 0.0000
4.20 -0.3067 0.0552
4.20 0.0000 0.0000
4.20 0.0000 0.0000
4.20 0.0000 0.0000
4.20 0.0000 0.0000
4.18 -0.3067 0.0552
4.18 0.0000 0.0000
4.17 -0.3067 0.0552
4.17 0.0000 0.0000
4.17 0.0000 0.0000
4.15 -0.3067 0.0552
4.15 0.0000 0.0000
4.14 -0.3067 0.0552
4.14 0.0000 0.0000
4.14 0.0000 0.0000
4.11 -0.6133 0.1104
4.12 0.3067 -0.0552
4.09 -0.6133 0.1104
4.09 0.0000 0.0000
4.08 -0.3067 0.0552
4.06 -0.3067 0.0552
4.06 0.0000 0.0000
4.03 -0.6133 0.1104
4.04 0.3067 -0.0552
4.03 -0.3067 0.0552
4.03 0.0000 0.0000
4.03 0.0000 0.0000
4.00 -0.6133 0.1104
4.00 0.0000 0.0000
3.98 -0.3067 0.0552
3.98 0.0000 0.0000
3.98 0.0000 0.0000
3.97 -0.3067 0.0552
3.97 0.0000 0.0000
3.95 -0.3067 0.0552
3.95 0.0000 0.0000
3.95 0.0000 0.0000
3.94 -0.3067 0.0552
3.94 0.0000 0.0000
3.92 -0.3067 0.0552
3.92 0.0000 0.0000
3.92 0.0000 0.0000
3.92 0.0000 0.0000
3.92 0.0000 0.0000
3.91 -0.3067 0.0552
3.89 -0.3067 0.0552
3.88 -0.3067 0.0552
3.86 -0.3067 0.0552
3.86 0.0000 0.0000
3.86 0.0000 0.0000
3.86 0.0000 0.0000
3.86 0.0000 0.0000
3.85 -0.3067 0.0552
3.85 0.0000 0.0000
3.83 -0.3067 0.0552
3.81 -0.3067 0.0552
3.81 0.0000 0.0000
3.80 -0.3067 0.0552
3.80 0.0000 0.0000
3.80 0.0000 0.0000
3.78 -0.3067 0.0552
3.80 0.3067 -0.0552
3.77 -0.6133 0.1104
3.78 0.3067 -0.0552
3.75 -0.6133 0.1104
3.75 0.0000 0.0000
3.74 -0.3067 0.0552
3.71 -0.6133 0.1104
3.69 -0.3067 0.0552
3.68 -0.3067 0.0552
3.68 0.0000 0.0000
3.66 -0.3067 0.0552
3.66 0.0000 0.0000
3.66 0.0000 0.0000
3.65 -0.3067 0.0552
3.63 -0.3067 0.0552
3.60 -0.6133 0.1104
3.58 -0.3067 0.0552
3.57 -0.3067 0.0552
3.55 -0.3067 0.0552
3.54 -0.3067 0.0552
3.51 -0.6133 0.1104
3.49 -0.3067 0.0552
3.46 -0.6133 0.1104
3.43 -0.6133 0.1104
3.42 -0.3067 0.0552
3.37 -0.9200 0.1656
3.34 -0.6133 0.1104
3.31 -0.6133 0.1104
3.28 -0.6133 0.1104
3.23 -0.9200 0.1656
3.19 -0.9200 0.1656
3.12 -1.2267 0.2208
3.06 -1.2267 0.2208
3.00 -1.2267 0.2208
2.93 -1.5333 0.2760
2.85 -1.5333 0.2760
2.77 -1.5333 0.2760
2.70 -1.5333 0.2760
2.60 -1.8400 0.3312
2.51 -1.8400 0.3312
2.43 -1.5333 0.2760
2.36 -1.5333 0.2760
2.28 -1.5333 0.2760
2.20 -1.5333 0.2760
2.13 -1.5333 0.2760
2.07 -1.2267 0.2208
2.01 -1.2267 0.2208
1.94 -1.2267 0.2208
1.88 -1.2267 0.2208
1.82 -1.2267 0.2208
1.78 -0.9200 0.1656
1.73 -0.9200 0.1656
1.68 -0.9200 0.1656
1.64 -0.9200 0.1656
1.59 -0.9200 0.1656
1.55 -0.9200 0.1656
1.50 -0.9200 0.1656
1.47 -0.6133 0.1104
1.42 -0.9200 0.1656
1.39 -0.6133 0.1104
1.35 -0.9200 0.1656
1.33 -0.3067 0.0552
1.28 -0.9200 0.1656
1.27 -0.3067 0.0552
1.24 -0.6133 0.1104
1.21 -0.6133 0.1104
1.18 -0.6133 0.1104
1.16 -0.3067 0.0552
1.13 -0.6133 0.1104
1.12 -0.3067 0.0552
1.10 -0.3067 0.0552
1.09 -0.3067 0.0552
1.07 -0.3067 0.0552
1.07 0.0000 0.0000
1.05 -0.3067 0.0552
1.05 0.0000 0.0000
1.04 -0.3067 0.0552
1.02 -0.3067 0.0552
0.98 -0.9200 0.1656
0.96 -0.3067 0.0552
0.93 -0.6133 0.1104
0.92 -0.3067 0.0552
0.89 -0.6133 0.1104
0.89 0.0000 0.0000
0.87 -0.3067 0.0552
0.86 -0.3067 0.0552
0.84 -0.3067 0.0552
0.81 -0.6133 0.1104
0.78 -0.6133 0.1104
0.76 -0.3067 0.0552
0.73 -0.6133 0.1104
0.70 -0.6133 0.1104
0.67 -0.6133 0.1104
0.64 -0.6133 0.1104
0.61 -0.6133 0.1104
0.56 -0.9200 0.1656
0.52 -0.9200 0.1656
0.49 -0.6133 0.1104
0.44 -0.9200 0.1656
0.41 -0.6133 0.1104
0.36 -0.9200 0.1656
0.33 -0.6133 0.1104
0.29 -0.9200 0.1656
0.26 -0.6133 0.1104
0.23 -0.6133 0.1104
0.20 -0.6133 0.1104
0.17 -0.6133 0.1104
0.13 -0.6133 0.1104
0.12 -0.3067 0.0552
0.09 -0.6133 0.1104
0.06 -0.6133 0.1104
0.03 -0.6133 0.1104
-0.00 -0.6133 0.1104
-0.05 -0.9200 0.1656
-0.08 -0.6133 0.1104
-0.13 -0.9200 0.1656
-0.17 -0.9200 0.1656
-0.23 -1.2267 0.2208
-0.29 -1.2267 0.2208
-0.37 -1.5333 0.2760
-0.45 -1.5333 0.2760
-0.52 -1.5333 0.2760
-0.62 -1.8400 0.3312
-0.72 -2.1467 0.3864
-0.86 -2.7600 0.4968
-1.00 -2.7600 0.4968
-1.14 -2.7600 0.4968
-1.32 -3.6800 0.6624
-1.52 -3.9866 0.7176
-1.75 -4.6000 0.8280
-1.98 -4.6000 0.8280
-2.23 -4.9066 0.8832
-2.50 -5.5200 0.9936
-2.76 -5.2133 0.9384
-3.02 -5.2133 0.9384
-3.24 -4.2933 0.7728
-3.48 -4.9067 0.8832
-3.70 -4.2933 0.7728
-3.90 -3.9866 0.7176
-4.07 -3.3733 0.6072
-4.24 -3.3733 0.6072
-4.39 -3.0667 0.5520
-4.56 -3.3733 0.6072
-4.70 -2.7600 0.4968
-4.82 -2.4533 0.4416
-4.96 -2.7600 0.4968
-5.08 -2.4533 0.4416
-5.19 -2.1467 0.3864
-5.29 -2.1467 0.3864
-5.39 -1.8400 0.3312
-5.48 -1.8400 0.3312
-5.55 -1.5333 0.2760
-5.62 -1.2267 0.2208
-5.68 -1.2266 0.2208
-5.74 -1.2267 0.2208
-5.78 -0.9200 0.1656
-5.83 -0.9200 0.1656
-5.86 -0.6133 0.1104
-5.89 -0.6133 0.1104
-5.92 -0.6133 0.1104
-5.95 -0.6133 0.1104
-5.98 -0.6133 0.1104
-6.00 -0.3066 0.0552
-6.03 -0.6133 0.1104
-6.04 -0.3067 0.0552
-6.08 -0.6133 0.1104
-6.09 -0.3067 0.0552
-6.12 -0.6133 0.1104
-6.14 -0.3067 0.0552
-6.17 -0.6133 0.1104
-6.18 -0.3067 0.0552
-6.21 -0.6133 0.1104
-6.23 -0.3067 0.0552
-6.26 -0.6133 0.1104
-6.29 -0.6133 0.1104
-6.31 -0.3067 0.0552
-6.34 -0.6133 0.1104
-6.37 -0.6133 0.1104
-6.41 -0.9200 0.1656
-6.44 -0.6133 0.1104
-6.49 -0.9200 0.1656
-6.54 -0.9200 0.1656
-6.58 -0.9200 0.1656
-6.64 -1.2266 0.2208
-6.70 -1.2267 0.2208
-6.77 -1.2267 0.2208
-6.86 -1.8400 0.3312
-6.93 -1.5333 0.2760
-7.03 -1.8400 0.3312
-7.12 -1.8400 0.3312
-7.21 -1.8400 0.3312
-7.30 -1.8400 0.3312
-7.39 -1.8400 0.3312
-7.50 -2.1466 0.3864
-7.58 -1.5334 0.2760
-7.67 -1.8400 0.3312
-7.76 -1.8400 0.3312
-7.84 -1.5333 0.2760
-7.92 -1.5333 0.2760
-7.92 0.0000 0.0000
-7.98 -1.2266 0.2208
-8.05 -1.5334 0.2760
-8.13 -1.5333 0.2760
-8.22 -1.8400 0.3312
-8.30 -1.5333 0.2760
-8.38 -1.5333 0.2760
-8.45 -1.5334 0.2760
-8.51 -1.2266 0.2208
-8.59 -1.5333 0.2760
-8.65 -1.2267 0.2208
-8.73 -1.5333 0.2760
-8.79 -1.2267 0.2208
-8.88 -1.8400 0.3312
-8.96 -1.5333 0.2760
-9.05 -1.8400 0.3312
-9.14 -1.8400 0.3312
-9.25 -2.1467 0.3864
-9.34 -1.8400 0.3312
-9.43 -1.8400 0.3312
-9.54 -2.1467 0.3864
-9.63 -1.8400 0.3312
-9.72 -1.8400 0.3312
-9.80 -1.5333 0.2760
-9.88 -1.5333 0.2760
